STATION_NAME,STATION_ID
"SKINS LAKE SPILLWAY NECHAKO RESERVOIR","08JA013"
"NECHAKO RESERVOIR AT KENNEY DAM","08JA022"
"NECHAKO RESERVOIR AT SKINS LAKE SPILLWAY","08JA023"
"NECHAKO RESERVOIR AT TAHTSA REACH","08JA027"

"SHUSWAP RIVER AT OUTLET OF SUGAR LAKE RESERVOIR","08LC018"
"SUGAR LAKE RESERVOIR AT THE OUTLET","08LC041"

"ARROW RESERVOIR AT FAUQUIER","08NE102"
"ARROW RESERVOIR AT HUGH KEENLEYSIDE DAM","08NE103"
"ARROW RESERVOIR AT NAKUSP","08NE104"
"ARROW RESERVOIR AT SHELTER BAY","08NE107"
"ARROW RESERVOIR OUTFLOW","08NE126"

"DUNCAN RESERVOIR AT DUNCAN DAM","08NH127"

"HYDRAULIC CREEK AT OUTLET OF MCCULLOCH RESERVOIR","08NM011"
"STIRLING CREEK DIVERSION TO MCCULLOCH RESERVOIR","08NM212"
"MCCULLOCH RESERVOIR AT MCCULLOCH DAM","08NM213"

"PEACHLAND LAKE RESERVOIR OUTFLOW","08NM202"

"MOORE LAKE RESERVOIR AT THE DAM","08NM234"

"ALOUETTE LAKE FOREBAY","08MH148"

"COQUITLAM RIVER ABOVE COQUITLAM LAKE","08MH141"
"COQUITLAM LAKE FOREBAY","08MH149"

"KINBASKET LAKE BELOW GARRETT CREEK","08NB017"
"KINBASKET LAKE AT MICA DAM","08ND017"

"KOOTENAY LAKE AT QUEENS BAY","08NH064"
"KOOTENAY LAKE AT KUSKONOOK","08NH067"

"CLOWHOM RIVER NEAR CLOWHOM LAKE","08GB013"

"HAYWARD LAKE ABOVE RUSKIN DAM","08MH167"

"SETON LAKE NEAR SHALALTH","08ME017"

"WILLISTON LAKE AT NATION ARM","07ED002"
"WILLISTON LAKE AT LOST CABIN CREEK","07EF002"
"WILLISTON LAKE NEAR SCHOOLER CREEK","07EF003"

"COMOX LAKE NEAR COURTENAY","08HB082"

"WOKAS LAKE NEAR CAMPBELL RIVER","08HD025"
